chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_1_3b11f30cc4b49d25,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_2_c96089a43e33aa9d,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn (ghi chú: bản sync cũ policy-v3 — lỗi migration). [cleaned: stale_refund_window],2026-02-01,2026-04-10T08:00:00
sla_p1_2026_3_ab622211ba880896,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-02-01,2026-04-10T08:00:00
it_helpdesk_faq_4_ba09094c6802344b,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-02-01,2026-04-10T08:00:00
hr_leave_policy_5_818ac82ac90f32fc,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-02-01,2026-04-10T08:00:00
it_helpdesk_faq_6_76d38c1b20d4459f,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_7_2ecf5f3452c3018d,policy_refund_v4,Bước 2: CS Agent xem xét trong vòng 1 ngày làm việc và xác nhận điều kiện đủ điều kiện.,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_8_6ca57a29a224197a,policy_refund_v4,CHÍNH SÁCH HOÀN TIỀN - PHIÊN BẢN 4 Source: policy/refund-v4.pdf Department: CS Effective Date: 2026-02-01 Access: internal,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_9_376ccbf685a81700,policy_refund_v4,=== Điều 1: Phạm vi áp dụng === Chính sách này áp dụng cho tất cả các đơn hàng được đặt trên hệ thống nội bộ kể từ ngày 01/02/2026. Các đơn hàng đặt trước ngày có hiệu lực sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_10_df3e34f0f2937f3b,policy_refund_v4,"=== Điều 2: Điều kiện được hoàn tiền === Khách hàng được quyền yêu cầu hoàn tiền khi đáp ứng đủ các điều kiện sau: - Sản phẩm bị lỗi do nhà sản xuất, không phải do người dùng. - Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. - Đơn hàng chưa được sử dụng hoặc chưa bị mở seal.",2026-02-01,2026-04-10T08:00:00
